序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3480,002686,亿利达,5.75,0.0,0.0,83667.0,48278733.0,1.74,5.82,5.72,5.75,5.75,0.81,1.6,61.05,1.99,3255875015.0,3005712496.0,0.17,0.0,10.36,7.28
3481,600388,龙净环保,11.56,0.0,0.0,52607.0,61064922.0,1.3,11.68,11.53,11.58,11.56,0.96,0.41,19.83,1.42,14681735147.0,14681735147.0,0.0,-0.09,-6.62,-8.62
3482,600329,达仁堂,29.52,0.0,0.0,66897.0,199115013.0,2.81,30.28,29.45,29.64,29.52,2.09,1.18,15.19,2.77,22733185389.0,16740477789.0,-0.03,0.03,-3.24,-4.16
3483,600335,国机汽车,6.35,0.0,0.0,120473.0,76788528.0,1.26,6.42,6.34,6.35,6.35,0.77,0.81,17.75,0.82,9498258194.0,9498258194.0,-0.16,0.0,-0.47,1.93
3484,002120,韵达股份,6.78,0.0,0.0,184281.0,124955572.0,0.59,6.8,6.76,6.79,6.78,0.78,0.65,15.3,0.96,19656544561.0,19086540381.0,0.15,0.15,-9.96,-9.84
3485,002282,博深股份,7.25,0.0,0.0,32761.0,23871456.0,0.83,7.31,7.25,7.25,7.25,0.79,0.65,16.34,1.09,3819578023.0,3639609751.0,-0.14,0.0,-6.09,0.55
3486,600515,海南机场,3.51,0.0,0.0,431119.0,151980566.0,1.71,3.55,3.49,3.5,3.51,1.13,0.47,99.87,1.69,40102836703.0,32207803903.0,0.0,0.29,-3.84,-7.14
3487,688282,*ST导航,45.22,0.0,0.0,,,0.0,,,,45.22,,0.0,-94.6,3.12,3979360000.0,1651434400.0,0.0,0.0,37.45,46.34
3488,600798,宁波海运,2.84,0.0,0.0,126227.0,35945832.0,1.41,2.87,2.83,2.84,2.84,0.52,1.05,-18.44,0.88,3426557131.0,3426557131.0,0.0,-0.35,-2.41,-6.27
3489,600603,ST广物,7.26,0.0,0.0,40426.0,29153238.0,3.99,7.31,7.02,7.23,7.26,0.37,0.34,10.46,1.21,8663569636.0,8663569636.0,0.0,0.0,-23.01,-24.53
3490,000590,启迪药业,8.71,0.0,0.0,27407.0,23947665.7,1.95,8.85,8.68,8.7,8.71,0.38,1.14,-32.08,3.58,2085794736.0,2084925129.0,-0.23,-0.11,26.23,22.5
3491,600604,市北高新,4.39,0.0,0.0,125821.0,55967887.0,2.96,4.52,4.39,4.43,4.39,0.73,0.89,-52.33,1.29,8223808090.0,6178726590.0,-0.45,-0.23,-1.57,-7.77
3492,600606,绿地控股,1.73,0.0,0.0,629012.0,109897120.0,2.89,1.77,1.72,1.73,1.73,0.78,0.45,-24.59,0.38,24313797683.0,24313797683.0,-0.57,0.0,-5.98,-17.62
3493,000547,航天发展,6.82,0.0,0.0,116248.0,79238821.0,1.03,6.85,6.78,6.82,6.82,1.01,0.73,-15.05,2.18,10901553595.0,10832551747.0,0.0,0.15,-0.58,-6.7
3494,300135,宝利国际,3.79,0.0,0.0,120736.0,46018749.2,1.85,3.84,3.77,3.81,3.79,0.87,1.31,269.6,3.61,3492864000.0,3492864000.0,0.26,0.0,-6.65,-4.29
